1114 Park Ave Apt 5R,Hoboken,2,1,925,2600,No,2,0.72
334 Garden St Apt 4N,Hoboken,1,1,N/A,1900,No,2,1.32
1319 Washington St Apt 3L,Hoboken,2,1,609,2450,No,1,0.75
1037 Washington St Apt 1,Hoboken,2,2,900,2600,No,1,0.31
1319 Washington St Apt 3R,Hoboken,2,1,836,2450,Yes,1,0.75
63 Jefferson St Unit 3,Hoboken,1,1,870,2200,Yes,2,1.39
831 Hudson St Apt 1,Hoboken,0,1,500,1575,Yes,2,0.31
523 Adam St Unit 4TH,Hoboken,1,1,870,2295,Yes,2,NA
742 Park Ave Apt 5,Hoboken,2,2,N/A,3300,Yes,1,0.81
500 2nd St Apt 3L,Hoboken,2,1,925,2550,Yes,1,NA
713 Willow Ave # 5G,Hoboken,1,1,750,2200,Yes,1,0.9
604 Adams St Apt 3,Hoboken,2,1,870,2800,No,1,1.31
520 Hudson St # 1B,Hoboken,2,1,1150,2950,Yes,1,0.79
300 Hudson St Apt 2,Hoboken,1,1,870,2550,Yes,1,1.06
402 Grand St Apt 4N,Hoboken,1,1,N/A,2000,Yes,1,1.51
500 Jefferson St Unit 6,Hoboken,2,2,900,4200,Yes,2,1.56
82 Jackson St Apt A6,Hoboken,1,1,N/A,379900,Yes,2,1.32
404 Monroe St Apt 4,Hoboken,2,2,1150,2950,Yes,2,NA
1109 Park Ave,Hoboken,4,2.5,1825,6950,Yes,2,0.72
414 Madison St Apt 3F,Hoboken,1,1,738,2100,Yes,2,1.76
1500 Washington St Apt 11J,Hoboken,1,1,900,2750,Yes,2,1.05
104 Jefferson St Apt 4R,Hoboken,1,1,500,1650,No,1,2.13
100 Park Ave Apt 3,Hoboken,2,1,870,2650,No,2,1.7
222 Grand St Apt 1J,Hoboken,2,2,836,3000,No,2,1.82
132 Jefferson St Apt 1,Hoboken,4,2,1200,3700,No,2,2.13
218 Washington St Apt 2B,Hoboken,1,1,870,2575,Yes,2,1.29
1405 Clinton St Apt 601,Hoboken,2,2,1150,3950,Yes,2,1.33
41 1st St Apt 3C,Hoboken,2,1,N/A,2900,Yes,1,NA
834 Hudson Ave Apt 2C,Hoboken,1,1,925,2450,No,1,0.31
1038 Park Ave Unit 2,Hoboken,1,1,925,2450,Yes,2,0.57
500 Jefferson St Unit 3,Hoboken,2,2,1150,3200,No,2,1.56
76 Jackson St Unit 3F,Hoboken,1,1,870,2470,Yes,2,1.48
1125 Maxwell Ln Apt 619,Hoboken,1,1,1000,3100,No,2,NA
